,Cod_setor,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,313820305000001,2,0,4,0,2,2,1,1,2,2,6,1,1,1,1,3,1,2,3,10,2,4,2,6,1,2,7,1,5,1,2,0,2,3,3,3,2,3,2,2,2,4,5,2,4,5,4,5,3,3,4,1,2,5,4,3,3,4,1,0,2,4,5,4,4,2,3,1,3,4,5,2,3,3,1,2,2,3,5,1,2,4,4,0,0,1,0,3,0,2,1,0,0,0,1,0,0,0,0,0,0
1,313820305000002,5,5,3,2,4,3,3,4,3,7,8,7,2,7,5,5,4,2,12,3,14,6,6,6,4,5,8,6,4,11,5,8,4,8,7,6,5,4,5,6,5,8,2,4,5,9,8,9,9,7,8,4,7,9,7,5,10,8,6,6,7,6,7,3,7,3,2,6,5,5,5,7,3,5,5,3,4,5,2,6,4,4,4,1,1,1,1,1,2,2,0,0,2,1,0,0,0,1,0,0,0
2,313820305000003,6,3,5,5,2,3,6,2,3,5,6,3,5,7,8,3,4,5,5,5,4,4,6,8,4,8,8,7,12,5,6,9,6,5,3,4,7,3,5,4,4,6,10,9,1,7,7,3,7,4,5,6,8,5,4,4,3,6,2,2,4,3,3,4,2,1,3,1,2,2,0,2,6,4,0,1,1,2,0,0,0,0,0,3,2,1,2,2,3,0,0,0,0,0,0,1,0,0,0,0,0
3,313820305000004,3,2,2,0,4,1,0,1,3,5,4,2,4,2,3,2,7,4,3,2,2,2,5,3,2,4,3,0,1,4,3,7,5,3,4,0,2,2,4,3,1,5,3,3,3,1,6,1,3,7,3,1,3,10,7,8,2,5,2,4,1,4,3,2,2,3,0,1,2,2,1,3,3,5,0,2,0,2,1,0,2,2,4,0,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4,313820305000005,1,0,0,1,0,0,2,0,2,2,1,0,0,1,2,2,0,2,2,0,3,2,4,1,0,1,3,1,2,2,2,1,2,0,0,3,0,1,1,0,2,2,0,2,0,2,3,0,2,3,2,0,1,3,4,5,4,5,2,2,3,3,1,2,1,0,0,0,0,4,0,3,3,1,0,2,0,1,0,0,3,2,1,2,1,1,3,1,1,0,0,4,0,1,0,0,0,0,0,0,0
5,313820305000006,4,2,2,1,3,4,1,2,1,2,3,3,1,3,0,2,3,3,5,2,6,7,3,4,3,1,4,5,3,5,4,4,5,3,2,3,4,5,1,2,1,6,3,4,3,1,6,7,7,3,7,4,5,2,7,4,10,8,2,3,5,8,4,2,3,9,3,2,2,4,2,2,3,2,3,2,5,3,2,3,1,1,3,2,3,2,1,2,2,1,1,0,0,0,0,1,0,0,1,0,0
6,313820305000007,5,3,2,2,1,0,1,1,1,5,4,3,2,4,2,1,4,4,8,9,10,16,5,10,5,9,5,6,8,3,8,6,3,5,2,1,2,1,3,2,2,4,3,4,4,2,7,1,10,1,4,5,3,4,1,6,5,2,0,0,2,2,1,0,2,2,0,3,0,1,1,2,3,1,2,0,0,1,1,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,313820305000008,2,3,4,0,0,1,4,1,3,2,1,2,3,6,3,1,5,5,3,3,8,4,6,5,5,3,6,7,7,4,6,4,9,4,4,4,3,2,2,5,4,6,3,3,3,5,2,4,8,3,3,6,4,5,1,7,5,4,2,3,6,4,4,5,4,2,4,0,5,0,2,2,2,0,1,2,4,1,0,2,2,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0
8,313820305000009,1,1,0,1,1,1,0,1,0,1,0,0,0,1,3,0,0,2,1,3,2,3,0,1,1,4,1,4,1,2,1,2,2,1,1,2,1,1,2,0,0,1,1,2,1,2,3,1,1,2,0,0,0,3,3,3,1,3,1,1,0,1,4,3,2,2,2,0,0,3,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,313820305000010,0,1,1,3,4,0,0,1,1,2,1,3,0,2,4,3,1,0,0,3,3,1,3,4,1,1,5,4,4,1,5,1,2,4,3,1,0,1,2,1,3,2,2,4,2,3,2,2,2,4,1,1,0,4,3,2,2,5,3,1,4,2,5,1,5,5,3,1,1,4,2,4,2,2,1,0,2,2,0,1,1,2,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0
