,ID_ALUNO,ID_MATRICULA,NU_IDADE_REFERENCIA,TP_SEXO,TP_COR_RACA,TP_ZONA_RESIDENCIAL,ID_TURMA,CO_ENTIDADE
0,850C82E28EF308BED8278105C8BEA33E,232488773,8,1,1,1,87499,31205265
1,DF74F309276E7C84E02BFCF95FA650FA,299999989,1,1,3,1,13022748,31288144
2,1B0EBE729407189BAC4DCEDE0AD58B74,326149294,4,1,2,1,14218415,31203092
3,28273712A9890D22EDAACE4EE8A94A1A,288603250,9,1,0,1,580260,31203076
4,5B8556A6D0C0572756966C55C4371B70,287557220,12,2,1,1,12096443,31203092
5,AD68E8BD570C834EFF884A73AC0DF32A,31155036,9,1,1,1,581213,31203076
6,EA0623738B148D8F12EF13974439699B,236292732,5,2,1,1,12460650,31203076
7,8970BF7047B26CBE621EA55AE3F0511B,295004820,16,2,0,1,12851471,31203106
8,82325E364300242134D6B49818C83FC4,295005091,7,2,3,1,12851445,31203106
9,98E1CAF1050F2E470854A52F4871CB86,294993874,17,2,1,1,12851362,31202975
10,EAF1D773B1985969E70C199FC6058D06,295004601,11,1,0,2,12850436,31203009
11,3AED4CB96BEC9B5890218E80653F8946,295000734,14,2,2,1,12851354,31202975
13,66511CA48AEEFE43E4BC0A9295D777FF,308749549,2,1,3,1,12342424,31362476
14,CA2D4573375646D02F0239E8D76C8D05,112852984,8,1,0,1,12088407,31203092
15,7D1D793332772B9A78D24B38DE72315F,287975344,13,1,1,1,12542981,31310573
16,904DDA65BD73D6461B1DD833A103226E,295154948,17,2,2,1,12857801,31202908
17,925F4A4B212CAE4F75EFF39644ADEC5B,295002864,20,2,3,1,12851412,31203009
18,A70031EC759AED34BF7EDBE8904F9C45,295006093,18,1,0,1,12851479,31203106
19,84DFD4C7318E3A3CCD51AFA59E26CE2F,169105876,4,1,1,1,13022780,31288144
20,B01E4C341AB76A98ACF0D1E2C4252498,279538796,6,2,1,1,9060097,31244279
21,06C184E5F6B14990DA3575A930E37240,279556647,7,1,0,1,9060215,31244279
22,F4759D42D73EEBCFB2CB52BE7A629F44,279718864,9,2,0,1,11990353,31266965
23,0DC8FB216934DDCA4672F9BE523ED774,285457231,4,2,1,1,1741027,31205231
25,835AD5BD7DC5A4DE4603E0DB6673D12D,230839595,5,1,3,1,12457321,31203076
27,DB7E9BE7893F827AC24BECAFA4473247,113392624,10,2,3,1,12146034,31316245
28,F367D49E13B30940AACA3BBF86049C73,223617970,12,2,3,1,12116406,31328294
29,9CC838581CD77411884CC54BCFAE90D9,222155411,3,1,0,1,12060861,31328294
30,1A421BBBEAB5D3A2EC6CCB01DB6A0318,290612018,4,1,1,1,12060916,31328294
33,5C448CF36D4AC0081B6C7FFCE5E9E20A,303461196,14,2,0,1,13212017,31202967
34,86988E8FF97722C0DF81846B696B2200,263989016,3,2,1,1,14228117,31203092
35,7955AF20D7C86445CEEA2F7F7DCD745A,298996341,17,1,0,1,12914703,31202983
36,16B9268D0FCBE5967AC210E26A9806A0,280337156,9,1,3,1,9062437,31244279
37,73958A4DB6DDD51C339B9EB5C6DEE889,280282091,12,1,1,1,12149995,31346314
38,B82E1A8E7435DEDBEA30AEA7649243F0,224252514,12,1,0,1,12116235,31328294
39,A4ACF0E780DED4B665E7B7EC2F65BD56,287128616,2,2,1,1,12501717,31360333
40,8013CC83BEC648D4DA8DBE7BDBB835F8,291281119,9,2,3,1,12010497,31202878
41,8B6411719A041944567E62E22169E151,295004321,17,2,0,1,12850445,31203009
42,20532781F3FD839ECDC2A8A454CA9DC1,295004327,17,2,1,1,12851409,31203009
43,41663351CD84A1FBBCB8645FE3EA378F,295004626,17,2,0,1,12850455,31203009
44,E749FE714CDC98C215403B5043469966,295004672,14,2,0,1,12850444,31203009
