,ID_DOCENTE,NU_IDADE_REFERENCIA,TP_SEXO,ID_TURMA
0,004402A0A127AE4E93A4E01F7DEB16CD,44,2,12851356
1,004402A0A127AE4E93A4E01F7DEB16CD,44,2,12851360
2,004402A0A127AE4E93A4E01F7DEB16CD,44,2,12851363
3,004402A0A127AE4E93A4E01F7DEB16CD,44,2,12851355
4,004FB96FA3D158354E2733AA0D19164B,33,2,13022748
6,0077F128E85DF0FA1AE9F75F3E7E8405,57,2,12341591
7,009E298E3806FE81905BBDB76E3EE174,52,2,1932301
8,00D3445716F69E7B33A621B75BB751C9,32,2,12885507
9,00D5C5E0ED496E23C28AFBD8792E16A4,41,2,9399007
10,00D5C5E0ED496E23C28AFBD8792E16A4,41,2,9403339
12,00EE7503E584D7EF750D5D9335547A52,35,2,11990059
13,014B9C9A5A3BCD3989EAE55D5A60DC2B,32,1,12121158
14,014B9C9A5A3BCD3989EAE55D5A60DC2B,32,1,12279781
15,014B9C9A5A3BCD3989EAE55D5A60DC2B,32,1,12279881
16,014B9C9A5A3BCD3989EAE55D5A60DC2B,32,1,12279997
17,014B9C9A5A3BCD3989EAE55D5A60DC2B,32,1,12280545
18,014B9C9A5A3BCD3989EAE55D5A60DC2B,32,1,12281170
19,014B9C9A5A3BCD3989EAE55D5A60DC2B,32,1,12116153
20,014B9C9A5A3BCD3989EAE55D5A60DC2B,32,1,12116235
21,014B9C9A5A3BCD3989EAE55D5A60DC2B,32,1,12116406
22,014B9C9A5A3BCD3989EAE55D5A60DC2B,32,1,12116493
23,014B9C9A5A3BCD3989EAE55D5A60DC2B,32,1,12116629
24,014B9C9A5A3BCD3989EAE55D5A60DC2B,32,1,12116825
25,014B9C9A5A3BCD3989EAE55D5A60DC2B,32,1,12117391
26,014B9C9A5A3BCD3989EAE55D5A60DC2B,32,1,12117567
27,016C2DAA32CC4FA50B9F9CEBA88F6E43,42,2,12851154
28,016C2DAA32CC4FA50B9F9CEBA88F6E43,42,2,12851155
29,016C2DAA32CC4FA50B9F9CEBA88F6E43,42,2,12851169
30,016C2DAA32CC4FA50B9F9CEBA88F6E43,42,2,12851170
31,019C44EF9A7BD009CDB9995E80E051CA,41,2,12456208
32,019C44EF9A7BD009CDB9995E80E051CA,41,2,579045
33,019D172B81A9BAB26CA57BB80C052C04,43,2,11959457
34,01A12BA85F1E20BC19EA5CB8BD5F6825,43,1,12151244
35,01A12BA85F1E20BC19EA5CB8BD5F6825,43,1,12151169
36,01A12BA85F1E20BC19EA5CB8BD5F6825,43,1,12151412
37,01A12BA85F1E20BC19EA5CB8BD5F6825,43,1,12151519
38,01A12BA85F1E20BC19EA5CB8BD5F6825,43,1,12151635
39,01DD6690E04A99A0A1A62EA4F62D6125,46,2,1931800
40,022DD69B66D3BB1385B2F0D690B8F8DA,38,2,87486
41,022DD69B66D3BB1385B2F0D690B8F8DA,38,2,87487
42,022DD69B66D3BB1385B2F0D690B8F8DA,38,2,6363555
43,022DD69B66D3BB1385B2F0D690B8F8DA,38,2,13212015
44,022DD69B66D3BB1385B2F0D690B8F8DA,38,2,13212017
45,022DD69B66D3BB1385B2F0D690B8F8DA,38,2,13212024
46,022DD69B66D3BB1385B2F0D690B8F8DA,38,2,13212555
47,022DD69B66D3BB1385B2F0D690B8F8DA,38,2,13212556
48,022DD69B66D3BB1385B2F0D690B8F8DA,38,2,13212557
52,02D46133AD26A4D4DF2C8515E8F050A1,25,1,13212015
53,02D46133AD26A4D4DF2C8515E8F050A1,25,1,13212016
54,02D46133AD26A4D4DF2C8515E8F050A1,25,1,13212017
55,02D46133AD26A4D4DF2C8515E8F050A1,25,1,13212024
56,02D46133AD26A4D4DF2C8515E8F050A1,25,1,13212557
57,02D46133AD26A4D4DF2C8515E8F050A1,25,1,13212561
58,0377773E915BFB246EE0E58B350EE90D,53,2,14245049
59,03A66D54AF1218530933904D6E517E56,34,2,12857789
60,03F594B5CC49FD73A63271A4B55C0B29,38,2,6688615
61,03F594B5CC49FD73A63271A4B55C0B29,38,2,6685470
62,03F594B5CC49FD73A63271A4B55C0B29,38,2,6685394
63,0405CA9ABD3A993C6F5DE85F724BBC58,29,1,12121158
64,0405CA9ABD3A993C6F5DE85F724BBC58,29,1,12279781
65,0405CA9ABD3A993C6F5DE85F724BBC58,29,1,12279881
66,0405CA9ABD3A993C6F5DE85F724BBC58,29,1,12279997
67,0405CA9ABD3A993C6F5DE85F724BBC58,29,1,12280545
68,0405CA9ABD3A993C6F5DE85F724BBC58,29,1,12281170
69,0405CA9ABD3A993C6F5DE85F724BBC58,29,1,12117391
70,0405CA9ABD3A993C6F5DE85F724BBC58,29,1,12117567
72,0417A4FCE6B482310603EBECE45C3640,33,2,12345168
73,043882A73FC7EEE61972588BB6E82373,53,2,11959971
75,044C35F5AF07A4C8075D32E14415175C,48,2,9062437
78,0483CA284924C1E4D0F1BBCCCFD7B300,38,2,12504075
79,048B153F6740D24D6A2B7C5035553EFD,41,2,12135175
80,04B3730E90875223AB4085A2713225D2,40,2,9064531
81,04B3730E90875223AB4085A2713225D2,40,2,9066352
82,04B3730E90875223AB4085A2713225D2,40,2,9067806
83,04B3730E90875223AB4085A2713225D2,40,2,9068548
84,04D31BC6A276AE1C14B1BFA1A228EA67,39,2,9055697
85,05741583E89C7CCC29D7FB1449307707,36,2,12138594
86,05DAEF8511B2E046BBE50AFAAA17EB6D,48,2,1741034
87,06425F5F032A3AEB190688609E3994B2,41,2,12296186
88,0671A79830AFF85292108E05DA3FE319,30,2,12060916
89,067F15D0DF35EB61F7F85A8F1CC2876A,36,2,12060970
90,06A23BD4039D051A48596350C36D3619,58,2,13020187
91,06AF51DB170A69910B5ADE2AD0A36F29,35,2,12060851
92,06AF51DB170A69910B5ADE2AD0A36F29,35,2,12060861
93,06AF51DB170A69910B5ADE2AD0A36F29,35,2,12060875
94,06AF51DB170A69910B5ADE2AD0A36F29,35,2,12060910
95,06AF51DB170A69910B5ADE2AD0A36F29,35,2,12060916
96,06AF51DB170A69910B5ADE2AD0A36F29,35,2,12060928
97,06AF51DB170A69910B5ADE2AD0A36F29,35,2,12061088
98,06AF51DB170A69910B5ADE2AD0A36F29,35,2,12061100
99,06AF51DB170A69910B5ADE2AD0A36F29,35,2,12061161
100,06AF51DB170A69910B5ADE2AD0A36F29,35,2,12061174
101,06FF9956DD1E8F4C74294768C0C20DC7,54,2,13212018
102,06FF9956DD1E8F4C74294768C0C20DC7,54,2,13212019
103,06FF9956DD1E8F4C74294768C0C20DC7,54,2,13212021
104,06FF9956DD1E8F4C74294768C0C20DC7,54,2,13212022
105,06FF9956DD1E8F4C74294768C0C20DC7,54,2,13212023
106,06FF9956DD1E8F4C74294768C0C20DC7,54,2,13212558
107,06FF9956DD1E8F4C74294768C0C20DC7,54,2,13212559
108,06FF9956DD1E8F4C74294768C0C20DC7,54,2,13212560
109,06FF9956DD1E8F4C74294768C0C20DC7,54,2,13212020
110,0707F20466B6FE64F21820FDB70C8AF0,55,2,9210274
111,0707F20466B6FE64F21820FDB70C8AF0,55,2,9210286
112,0707F20466B6FE64F21820FDB70C8AF0,55,2,13997554
113,0707F20466B6FE64F21820FDB70C8AF0,55,2,13997573
114,0707F20466B6FE64F21820FDB70C8AF0,55,2,87493
115,0707F20466B6FE64F21820FDB70C8AF0,55,2,87494
116,0707F20466B6FE64F21820FDB70C8AF0,55,2,87495
117,0707F20466B6FE64F21820FDB70C8AF0,55,2,87496
118,0707F20466B6FE64F21820FDB70C8AF0,55,2,87498
119,0707F20466B6FE64F21820FDB70C8AF0,55,2,87499
120,0707F20466B6FE64F21820FDB70C8AF0,55,2,8824144
121,0707F20466B6FE64F21820FDB70C8AF0,55,2,8824539
122,0707F20466B6FE64F21820FDB70C8AF0,55,2,8825069
123,0707F20466B6FE64F21820FDB70C8AF0,55,2,8826062
124,0707F20466B6FE64F21820FDB70C8AF0,55,2,8826080
125,0707F20466B6FE64F21820FDB70C8AF0,55,2,9208704
126,0707F20466B6FE64F21820FDB70C8AF0,55,2,12710143
127,0707F20466B6FE64F21820FDB70C8AF0,55,2,13190867
128,0758162A5F57E87BB93C45EA155B4D7B,45,2,12851466
129,0758162A5F57E87BB93C45EA155B4D7B,45,2,12851467
130,0758162A5F57E87BB93C45EA155B4D7B,45,2,12851468
131,0758162A5F57E87BB93C45EA155B4D7B,45,2,12851469
132,0758162A5F57E87BB93C45EA155B4D7B,45,2,12851470
133,0758162A5F57E87BB93C45EA155B4D7B,45,2,12851471
134,0758162A5F57E87BB93C45EA155B4D7B,45,2,12851472
135,0758162A5F57E87BB93C45EA155B4D7B,45,2,12851473
136,0758162A5F57E87BB93C45EA155B4D7B,45,2,12851477
137,0758162A5F57E87BB93C45EA155B4D7B,45,2,12851478
138,0758162A5F57E87BB93C45EA155B4D7B,45,2,12851479
139,077ACBFEF74D3578719DDC8407DF39BA,39,2,12542542
140,077ACBFEF74D3578719DDC8407DF39BA,39,2,6685394
141,077ACBFEF74D3578719DDC8407DF39BA,39,2,12542665
142,077ACBFEF74D3578719DDC8407DF39BA,39,2,12542783
143,077ACBFEF74D3578719DDC8407DF39BA,39,2,12542981
144,077ACBFEF74D3578719DDC8407DF39BA,39,2,6684541
145,077ACBFEF74D3578719DDC8407DF39BA,39,2,6689056
146,07F688D7246695DECFBAE62AF57E5F28,57,2,12096409
147,07F688D7246695DECFBAE62AF57E5F28,57,2,12096443
148,07F688D7246695DECFBAE62AF57E5F28,57,2,12097513
149,07F688D7246695DECFBAE62AF57E5F28,57,2,12097579
150,07F688D7246695DECFBAE62AF57E5F28,57,2,12097645
